order_id,global_user_id,platform,order_time,payment_time,payment_method,shipping_address,order_status,total_amount,discount_amount,shipping_fee,tax_amount,promotion_id,coupon_code,shipping_method
DOUYIN20250103754658,U-DOUYIN-356145,douyin,2025-01-03 06:46:29,2025-01-03 07:03:29,银行卡,西安福田区17号楼16单元1290室,已完成,4530.08,1154.79,7.25,271.80,拼团优惠,YHMD4838,自提
DOUYIN20250103936509,U-DOUYIN-383121,douyin,2025-01-03 10:42:04,2025-01-03 11:42:04,银行卡,武汉天河区19号楼2单元127室,已完成,1557.42,48.17,16.25,93.45,秒杀活动,YHMD1552,快递配送
DOUYIN20250103985245,U-DOUYIN-881791,douyin,2025-01-03 04:53:11,2025-01-03 05:34:11,京东支付,成都浦东新区36号楼18单元1997室,已完成,3922.84,153.10,16.38,235.37,满减活动,YHMD1515,自提
DOUYIN20250104208368,U-DOUYIN-397587,douyin,2025-01-04 04:38:04,2025-01-04 04:45:04,支付宝,上海浦东新区77号楼13单元185室,已取消,4987.27,610.33,13.15,299.24,无促销,,快递配送
DOUYIN20250104291695,U-DOUYIN-912192,douyin,2025-01-04 20:30:12,2025-01-04 21:14:12,支付宝,北京朝阳区89号楼12单元265室,已取消,4394.01,317.18,13.55,263.64,无促销,,自提
DOUYIN20250104312778,U-DOUYIN-906286,douyin,2025-01-04 04:40:41,2025-01-04 04:45:41,银行卡,北京朝阳区52号楼8单元1255室,待付款,3314.47,16.20,17.65,198.87,拼团优惠,,自提
DOUYIN20250104693077,U-DOUYIN-179511,douyin,2025-01-04 23:53:02,2025-01-05 00:24:02,花呗,北京福田区2号楼10单元1430室,已取消,3401.41,301.86,4.56,204.08,拼团优惠,,快递配送
DOUYIN20250104998262,U-DOUYIN-474500,douyin,2025-01-04 15:15:48,2025-01-04 16:01:48,支付宝,广州福田区25号楼7单元1969室,已取消,942.11,69.61,9.35,56.53,优惠券,,同城配送
DOUYIN20250105190999,U-DOUYIN-659049,douyin,2025-01-05 13:26:33,2025-01-05 14:15:33,银行卡,武汉朝阳区19号楼5单元1076室,已取消,2946.11,376.37,2.84,176.77,优惠券,YHMD2155,同城配送
DOUYIN20250105337912,U-DOUYIN-684257,douyin,2025-01-05 00:37:19,2025-01-05 01:36:19,花呗,成都海淀区54号楼3单元351室,已发货,1918.11,180.33,12.55,115.09,优惠券,,同城配送
DOUYIN20250105578847,U-DOUYIN-220345,douyin,2025-01-05 19:15:44,2025-01-05 19:39:44,京东支付,广州海淀区72号楼15单元331室,已完成,4240.84,1089.16,7.03,254.45,优惠券,,同城配送
DOUYIN20250105615439,U-DOUYIN-443016,douyin,2025-01-05 07:10:48,2025-01-05 07:17:48,京东支付,南京浦东新区17号楼20单元1467室,已完成,3353.20,879.02,18.38,201.19,无促销,,同城配送
DOUYIN20250105664444,U-DOUYIN-604409,douyin,2025-01-05 03:33:40,2025-01-05 04:09:40,京东支付,重庆福田区71号楼15单元1442室,已发货,2576.77,544.51,0.64,154.61,拼团优惠,,同城配送
DOUYIN20250105706814,U-DOUYIN-615613,douyin,2025-01-05 10:41:23,2025-01-05 11:15:23,银行卡,重庆福田区46号楼19单元1476室,已取消,152.26,16.10,19.03,9.14,拼团优惠,TLEMD3330,自提
DOUYIN20250105795403,U-DOUYIN-378900,douyin,2025-01-05 09:34:29,2025-01-05 09:48:29,支付宝,西安浦东新区2号楼2单元1839室,已付款,106.36,10.96,16.92,6.38,无促销,,自提
DOUYIN20250106324627,U-DOUYIN-965056,douyin,2025-01-06 09:37:13,2025-01-06 10:16:13,微信支付,上海天河区29号楼12单元224室,已完成,1883.99,226.04,6.15,113.04,无促销,YHMD5442,同城配送
DOUYIN20250106340615,U-DOUYIN-152952,douyin,2025-01-06 15:41:25,2025-01-06 16:22:25,花呗,重庆朝阳区12号楼14单元684室,已完成,4422.44,547.91,8.31,265.35,无促销,,快递配送
DOUYIN20250106382260,U-DOUYIN-947880,douyin,2025-01-06 21:33:27,2025-01-06 21:51:27,支付宝,广州浦东新区96号楼17单元1661室,已发货,1061.63,248.33,2.93,63.70,满减活动,,同城配送
DOUYIN20250106477867,U-DOUYIN-402547,douyin,2025-01-06 02:10:25,2025-01-06 02:50:25,花呗,北京朝阳区96号楼19单元1680室,已取消,4331.92,622.41,12.74,259.92,拼团优惠,,同城配送
DOUYIN20250107173182,U-DOUYIN-807082,douyin,2025-01-07 19:54:51,2025-01-07 20:37:51,花呗,深圳天河区22号楼11单元1588室,已取消,4200.82,110.78,6.95,252.05,无促销,,自提
DOUYIN20250107477383,U-DOUYIN-598076,douyin,2025-01-07 03:19:30,2025-01-07 04:08:30,微信支付,北京福田区89号楼2单元951室,待付款,4365.96,864.60,17.04,261.96,优惠券,,同城配送
DOUYIN20250107552608,U-DOUYIN-934509,douyin,2025-01-07 09:45:46,2025-01-07 10:21:46,京东支付,西安福田区24号楼2单元1818室,已发货,1147.22,206.05,8.41,68.83,优惠券,,同城配送
DOUYIN20250107689819,U-DOUYIN-650025,douyin,2025-01-07 14:27:42,2025-01-07 15:26:42,微信支付,成都浦东新区36号楼20单元752室,已发货,1852.52,384.39,9.08,111.15,秒杀活动,,自提
DOUYIN20250107929779,U-DOUYIN-760854,douyin,2025-01-07 18:08:39,2025-01-07 18:39:39,支付宝,北京天河区26号楼16单元1844室,已付款,3395.93,243.65,14.66,203.76,满减活动,TLEMD3430,快递配送
DOUYIN20250108563191,U-DOUYIN-256501,douyin,2025-01-08 16:36:33,2025-01-08 17:20:33,京东支付,广州浦东新区8号楼4单元1060室,已发货,1339.42,358.49,1.26,80.37,优惠券,QZMD5780,同城配送
DOUYIN20250108611343,U-DOUYIN-782570,douyin,2025-01-08 13:19:31,2025-01-08 13:57:31,花呗,广州朝阳区66号楼13单元1036室,已发货,3806.62,52.53,2.25,228.40,无促销,,同城配送
DOUYIN20250108779773,U-DOUYIN-754522,douyin,2025-01-08 10:35:03,2025-01-08 10:40:03,京东支付,上海海淀区49号楼15单元1111室,已完成,1957.29,460.84,4.96,117.44,秒杀活动,YHMD7857,同城配送
DOUYIN20250108831694,U-DOUYIN-782570,douyin,2025-01-08 01:24:14,2025-01-08 01:53:14,银行卡,广州浦东新区61号楼19单元895室,待付款,1441.30,273.44,12.63,86.48,满减活动,TLEMD7168,快递配送
DOUYIN20250108937610,U-DOUYIN-323050,douyin,2025-01-08 03:49:06,2025-01-08 04:46:06,微信支付,南京浦东新区12号楼9单元943室,已完成,1500.46,101.27,7.69,90.03,满减活动,YHMD3270,自提
DOUYIN20250108989443,U-DOUYIN-448612,douyin,2025-01-08 01:39:22,2025-01-08 01:54:22,银行卡,北京朝阳区51号楼17单元383室,已付款,3559.51,707.02,0.94,213.57,满减活动,,同城配送
DOUYIN20250109124480,U-DOUYIN-116655,douyin,2025-01-09 06:15:02,2025-01-09 07:13:02,京东支付,成都福田区18号楼7单元569室,已付款,4264.27,691.44,0.46,255.86,满减活动,,自提
DOUYIN20250109468454,U-DOUYIN-981896,douyin,2025-01-09 21:43:26,2025-01-09 22:25:26,银行卡,成都浦东新区88号楼16单元1965室,已取消,4355.78,799.97,13.82,261.35,秒杀活动,,自提
DOUYIN20250109545816,U-DOUYIN-688078,douyin,2025-01-09 12:36:41,2025-01-09 13:35:41,花呗,广州福田区71号楼18单元787室,已发货,4127.15,1233.46,17.67,247.63,满减活动,YHMD8393,快递配送
DOUYIN20250110132714,U-DOUYIN-299469,douyin,2025-01-10 19:03:10,2025-01-10 19:37:10,微信支付,深圳浦东新区98号楼17单元237室,已完成,826.03,103.90,8.79,49.56,拼团优惠,TLEMD2211,自提
DOUYIN20250110326244,U-DOUYIN-744170,douyin,2025-01-10 11:52:37,2025-01-10 12:39:37,银行卡,深圳朝阳区34号楼9单元1455室,待付款,3613.09,137.14,10.94,216.79,满减活动,,快递配送
DOUYIN20250110831589,U-DOUYIN-937286,douyin,2025-01-10 07:02:00,2025-01-10 07:22:00,银行卡,成都朝阳区63号楼14单元932室,已付款,1744.30,358.35,13.27,104.66,拼团优惠,,快递配送
DOUYIN20250111271388,U-DOUYIN-706853,douyin,2025-01-11 20:03:16,2025-01-11 20:50:16,微信支付,成都天河区33号楼2单元933室,已发货,255.58,46.04,1.35,15.33,优惠券,,同城配送
DOUYIN20250111441201,U-DOUYIN-839035,douyin,2025-01-11 08:06:29,2025-01-11 08:18:29,花呗,重庆浦东新区22号楼6单元560室,待付款,1893.90,272.18,18.14,113.63,拼团优惠,QZMD3604,快递配送
DOUYIN20250111548128,U-DOUYIN-666851,douyin,2025-01-11 06:29:34,2025-01-11 07:14:34,微信支付,北京海淀区85号楼2单元1908室,已取消,3882.86,682.62,9.32,232.97,秒杀活动,QZMD6448,快递配送
DOUYIN20250111887150,U-DOUYIN-202218,douyin,2025-01-11 16:36:30,2025-01-11 16:48:30,微信支付,南京浦东新区34号楼11单元1531室,待付款,705.69,78.33,9.80,42.34,满减活动,TLEMD5140,自提
DOUYIN20250112155079,U-DOUYIN-358739,douyin,2025-01-12 00:44:46,2025-01-12 00:53:46,支付宝,杭州浦东新区90号楼14单元1201室,已完成,3793.16,269.84,3.08,227.59,秒杀活动,,同城配送
DOUYIN20250112752418,U-DOUYIN-396134,douyin,2025-01-12 19:47:32,2025-01-12 20:05:32,微信支付,南京福田区35号楼16单元1939室,待付款,213.34,8.36,11.09,12.80,满减活动,YHMD7424,自提
DOUYIN20250113184668,U-DOUYIN-443526,douyin,2025-01-13 18:53:22,2025-01-13 19:14:22,京东支付,重庆福田区35号楼5单元1410室,待付款,1991.54,436.01,3.04,119.49,拼团优惠,YHMD5999,快递配送
DOUYIN20250113303471,U-DOUYIN-420831,douyin,2025-01-13 12:02:48,2025-01-13 12:55:48,支付宝,西安福田区58号楼7单元971室,已取消,2105.13,17.44,7.55,126.31,优惠券,,快递配送
DOUYIN20250113553616,U-DOUYIN-190133,douyin,2025-01-13 18:02:53,2025-01-13 18:30:53,银行卡,西安福田区17号楼5单元1324室,已发货,4328.64,487.27,0.68,259.72,优惠券,,同城配送
DOUYIN20250113815476,U-DOUYIN-858236,douyin,2025-01-13 21:25:20,2025-01-13 22:11:20,京东支付,武汉福田区14号楼7单元1557室,已完成,1106.68,50.39,12.60,66.40,秒杀活动,QZMD3564,快递配送
DOUYIN20250113928937,U-DOUYIN-909737,douyin,2025-01-13 23:50:56,2025-01-14 00:46:56,银行卡,南京海淀区52号楼5单元1645室,待付款,3212.10,918.56,19.18,192.73,无促销,,快递配送
DOUYIN20250113990443,U-DOUYIN-381493,douyin,2025-01-13 02:27:43,2025-01-13 03:21:43,支付宝,西安海淀区54号楼14单元978室,已取消,1450.28,79.41,17.59,87.02,无促销,,同城配送
DOUYIN20250114380920,U-DOUYIN-947880,douyin,2025-01-14 03:09:56,2025-01-14 03:36:56,支付宝,上海天河区4号楼20单元631室,已付款,4198.39,1048.83,7.27,251.90,无促销,TLEMD3130,同城配送
DOUYIN20250114438515,U-DOUYIN-960015,douyin,2025-01-14 01:13:12,2025-01-14 01:45:12,微信支付,上海天河区95号楼19单元1184室,待付款,868.08,27.33,8.26,52.08,拼团优惠,TLEMD4605,自提
DOUYIN20250114460625,U-DOUYIN-370844,douyin,2025-01-14 23:58:01,2025-01-15 00:49:01,微信支付,重庆浦东新区6号楼3单元1048室,已完成,3160.42,400.78,6.77,189.63,拼团优惠,YHMD1102,自提
DOUYIN20250114546798,U-DOUYIN-295293,douyin,2025-01-14 21:59:56,2025-01-14 22:55:56,花呗,广州浦东新区74号楼15单元553室,已完成,4287.26,1233.95,2.29,257.24,秒杀活动,TLEMD1728,自提
DOUYIN20250114612436,U-DOUYIN-604409,douyin,2025-01-14 07:17:28,2025-01-14 08:09:28,支付宝,南京浦东新区57号楼20单元1212室,已完成,3626.18,725.43,14.15,217.57,秒杀活动,,快递配送
DOUYIN20250114683777,U-DOUYIN-304610,douyin,2025-01-14 09:44:38,2025-01-14 10:26:38,银行卡,武汉朝阳区77号楼5单元466室,已发货,3881.78,350.61,2.04,232.91,满减活动,TLEMD1859,自提
DOUYIN20250114694697,U-DOUYIN-419454,douyin,2025-01-14 23:12:33,2025-01-14 23:40:33,银行卡,深圳海淀区83号楼20单元1844室,已完成,1735.94,38.22,5.27,104.16,秒杀活动,QZMD3159,同城配送
DOUYIN20250115481435,U-DOUYIN-479759,douyin,2025-01-15 12:39:00,2025-01-15 13:24:00,银行卡,深圳朝阳区34号楼6单元1562室,已付款,4215.61,467.60,16.70,252.94,满减活动,,自提
DOUYIN20250115565951,U-DOUYIN-544368,douyin,2025-01-15 02:23:06,2025-01-15 03:16:06,京东支付,成都朝阳区67号楼12单元1708室,已完成,410.92,1.23,15.11,24.66,秒杀活动,QZMD5520,快递配送
DOUYIN20250115685783,U-DOUYIN-185311,douyin,2025-01-15 08:53:45,2025-01-15 09:03:45,京东支付,深圳朝阳区59号楼7单元1399室,已完成,1291.11,342.18,11.95,77.47,秒杀活动,,快递配送
DOUYIN20250115905202,U-DOUYIN-485055,douyin,2025-01-15 22:17:07,2025-01-15 22:57:07,京东支付,南京海淀区78号楼18单元1695室,已完成,4190.26,23.59,1.66,251.42,秒杀活动,,同城配送
DOUYIN20250115964350,U-DOUYIN-993917,douyin,2025-01-15 14:02:40,2025-01-15 14:32:40,微信支付,成都海淀区6号楼6单元1908室,待付款,4196.88,770.80,1.44,251.81,无促销,,自提
DOUYIN20250116147187,U-DOUYIN-879320,douyin,2025-01-16 13:44:39,2025-01-16 14:40:39,银行卡,西安朝阳区2号楼6单元1964室,已发货,1765.18,156.67,12.73,105.91,满减活动,QZMD2126,自提
DOUYIN20250116219216,U-DOUYIN-754706,douyin,2025-01-16 19:53:33,2025-01-16 20:32:33,支付宝,北京天河区9号楼14单元724室,已付款,1907.67,483.91,16.28,114.46,拼团优惠,,自提
DOUYIN20250116295687,U-DOUYIN-312741,douyin,2025-01-16 06:07:30,2025-01-16 06:13:30,微信支付,重庆福田区28号楼1单元1013室,已付款,1347.44,133.32,5.69,80.85,秒杀活动,YHMD1981,自提
DOUYIN20250116299977,U-DOUYIN-133522,douyin,2025-01-16 03:21:19,2025-01-16 03:39:19,银行卡,西安浦东新区80号楼20单元1704室,已取消,3908.72,183.35,2.08,234.52,无促销,TLEMD9573,同城配送
DOUYIN20250116510191,U-DOUYIN-554232,douyin,2025-01-16 12:49:59,2025-01-16 13:27:59,银行卡,上海天河区37号楼16单元486室,已发货,1807.87,453.52,15.28,108.47,秒杀活动,,快递配送
DOUYIN20250116633785,U-DOUYIN-278288,douyin,2025-01-16 21:52:09,2025-01-16 22:44:09,京东支付,杭州海淀区91号楼20单元203室,待付款,2006.65,205.42,9.38,120.40,优惠券,,自提
DOUYIN20250117373182,U-DOUYIN-250027,douyin,2025-01-17 04:48:49,2025-01-17 05:48:49,花呗,重庆福田区5号楼7单元454室,已完成,1700.50,116.75,5.08,102.03,满减活动,,自提
DOUYIN20250117387154,U-DOUYIN-406116,douyin,2025-01-17 22:36:55,2025-01-17 23:18:55,支付宝,深圳福田区6号楼1单元1357室,已发货,3216.36,110.94,2.64,192.98,秒杀活动,,快递配送
DOUYIN20250117477178,U-DOUYIN-322654,douyin,2025-01-17 07:37:23,2025-01-17 08:06:23,花呗,西安天河区34号楼10单元761室,已取消,1644.87,485.25,6.94,98.69,满减活动,TLEMD8806,自提
DOUYIN20250117518496,U-DOUYIN-146331,douyin,2025-01-17 17:27:58,2025-01-17 17:58:58,银行卡,广州朝阳区98号楼18单元1144室,已取消,4670.46,810.73,6.68,280.23,优惠券,,同城配送
DOUYIN20250117966136,U-DOUYIN-451770,douyin,2025-01-17 21:30:38,2025-01-17 21:38:38,银行卡,南京朝阳区27号楼11单元108室,已发货,2045.64,323.15,12.72,122.74,无促销,,同城配送
DOUYIN20250118541119,U-DOUYIN-686450,douyin,2025-01-18 03:03:37,2025-01-18 03:23:37,京东支付,广州海淀区40号楼14单元1976室,已付款,4285.85,957.08,4.91,257.15,秒杀活动,QZMD8270,快递配送
DOUYIN20250118547075,U-DOUYIN-799864,douyin,2025-01-18 17:35:18,2025-01-18 18:14:18,京东支付,重庆天河区80号楼7单元1124室,已取消,821.39,245.76,17.50,49.28,优惠券,QZMD4014,快递配送
DOUYIN20250118597970,U-DOUYIN-423626,douyin,2025-01-18 07:19:00,2025-01-18 07:57:00,支付宝,西安浦东新区62号楼3单元892室,已付款,449.96,85.73,3.23,27.00,满减活动,,自提
DOUYIN20250118798822,U-DOUYIN-888898,douyin,2025-01-18 00:54:04,2025-01-18 01:05:04,京东支付,杭州天河区46号楼15单元1661室,待付款,1933.81,318.60,5.49,116.03,优惠券,TLEMD3161,快递配送
DOUYIN20250118856884,U-DOUYIN-145457,douyin,2025-01-18 23:23:12,2025-01-19 00:16:12,银行卡,北京福田区80号楼16单元1613室,已完成,3149.53,259.20,13.58,188.97,满减活动,,同城配送
DOUYIN20250119400502,U-DOUYIN-189522,douyin,2025-01-19 04:54:40,2025-01-19 05:45:40,银行卡,武汉福田区47号楼13单元985室,待付款,2856.75,405.31,2.60,171.41,秒杀活动,,同城配送
DOUYIN20250119567456,U-DOUYIN-439903,douyin,2025-01-19 13:26:57,2025-01-19 13:35:57,支付宝,重庆朝阳区20号楼8单元541室,待付款,1972.70,284.97,5.70,118.36,优惠券,QZMD2261,同城配送
DOUYIN20250119640638,U-DOUYIN-415851,douyin,2025-01-19 05:01:19,2025-01-19 05:24:19,支付宝,杭州福田区72号楼2单元989室,已发货,2998.57,31.58,10.69,179.91,无促销,YHMD8031,快递配送
DOUYIN20250119900799,U-DOUYIN-459556,douyin,2025-01-19 23:40:30,2025-01-20 00:11:30,银行卡,西安浦东新区99号楼17单元636室,已取消,3268.64,946.69,7.41,196.12,秒杀活动,YHMD7165,自提
DOUYIN20250120143028,U-DOUYIN-678174,douyin,2025-01-20 12:35:25,2025-01-20 13:03:25,微信支付,杭州福田区35号楼17单元842室,已付款,3313.28,263.97,15.18,198.80,拼团优惠,,快递配送
DOUYIN20250120356296,U-DOUYIN-475833,douyin,2025-01-20 12:38:05,2025-01-20 12:50:05,京东支付,武汉海淀区4号楼20单元420室,待付款,2553.12,166.39,15.65,153.19,优惠券,,快递配送
DOUYIN20250120561253,U-DOUYIN-834090,douyin,2025-01-20 06:08:59,2025-01-20 06:27:59,花呗,重庆海淀区39号楼10单元1108室,已付款,3529.51,975.47,16.81,211.77,拼团优惠,QZMD3804,快递配送
DOUYIN20250120844173,U-DOUYIN-728870,douyin,2025-01-20 12:15:11,2025-01-20 12:23:11,银行卡,深圳海淀区58号楼19单元1397室,待付款,2086.83,126.04,13.58,125.21,拼团优惠,,同城配送
DOUYIN20250121163717,U-DOUYIN-142509,douyin,2025-01-21 02:16:57,2025-01-21 03:04:57,银行卡,深圳天河区34号楼5单元469室,已完成,4716.61,1023.55,19.10,283.00,优惠券,TLEMD5148,快递配送
DOUYIN20250121187920,U-DOUYIN-163689,douyin,2025-01-21 03:06:41,2025-01-21 04:01:41,银行卡,上海浦东新区51号楼3单元1577室,已取消,1632.26,116.78,2.44,97.94,优惠券,,同城配送
DOUYIN20250121485589,U-DOUYIN-992015,douyin,2025-01-21 16:53:29,2025-01-21 17:44:29,京东支付,西安浦东新区29号楼7单元1416室,已完成,4804.24,474.56,9.11,288.25,满减活动,TLEMD3262,自提
DOUYIN20250121533545,U-DOUYIN-538448,douyin,2025-01-21 17:27:25,2025-01-21 17:36:25,银行卡,深圳海淀区11号楼11单元1229室,待付款,2926.62,863.45,5.91,175.60,优惠券,TLEMD1706,快递配送
DOUYIN20250121665030,U-DOUYIN-352587,douyin,2025-01-21 14:26:15,2025-01-21 15:02:15,微信支付,南京浦东新区23号楼20单元1667室,已发货,3804.14,250.26,4.68,228.25,无促销,YHMD5225,同城配送
DOUYIN20250121734225,U-DOUYIN-327971,douyin,2025-01-21 21:31:23,2025-01-21 22:15:23,京东支付,重庆朝阳区71号楼14单元701室,已付款,2386.16,37.27,8.10,143.17,拼团优惠,,同城配送
DOUYIN20250122589605,U-DOUYIN-798548,douyin,2025-01-22 23:20:18,2025-01-23 00:12:18,银行卡,重庆海淀区81号楼10单元1714室,已取消,3391.51,782.29,7.02,203.49,无促销,,同城配送
DOUYIN20250122742842,U-DOUYIN-602186,douyin,2025-01-22 09:18:43,2025-01-22 10:17:43,花呗,重庆朝阳区55号楼8单元1133室,已取消,2364.80,368.36,15.21,141.89,秒杀活动,QZMD1960,同城配送
DOUYIN20250122944716,U-DOUYIN-900174,douyin,2025-01-22 09:55:06,2025-01-22 10:05:06,京东支付,南京福田区10号楼20单元1104室,已付款,1265.13,234.36,18.03,75.91,秒杀活动,YHMD1384,自提
DOUYIN20250122967861,U-DOUYIN-245762,douyin,2025-01-22 07:13:46,2025-01-22 08:08:46,银行卡,杭州浦东新区67号楼11单元806室,待付款,4461.87,901.22,4.18,267.71,满减活动,TLEMD2004,快递配送
DOUYIN20250123131045,U-DOUYIN-186433,douyin,2025-01-23 10:15:41,2025-01-23 11:02:41,支付宝,杭州海淀区62号楼16单元1980室,待付款,3217.10,80.75,9.08,193.03,优惠券,,快递配送
DOUYIN20250123145938,U-DOUYIN-106054,douyin,2025-01-23 05:44:58,2025-01-23 05:56:58,支付宝,西安浦东新区95号楼16单元1089室,已付款,1024.46,42.51,18.86,61.47,拼团优惠,YHMD7463,同城配送
DOUYIN20250123608669,U-DOUYIN-351512,douyin,2025-01-23 05:17:17,2025-01-23 05:53:17,花呗,北京福田区34号楼1单元1256室,已发货,852.79,93.31,12.63,51.17,秒杀活动,YHMD4775,自提
DOUYIN20250123664538,U-DOUYIN-266066,douyin,2025-01-23 14:57:31,2025-01-23 15:21:31,花呗,杭州海淀区95号楼13单元140室,已付款,4839.85,746.74,3.42,290.39,满减活动,,同城配送
DOUYIN20250123881958,U-DOUYIN-325508,douyin,2025-01-23 17:25:29,2025-01-23 18:23:29,银行卡,深圳海淀区20号楼1单元1101室,已取消,2354.82,272.16,10.43,141.29,拼团优惠,,同城配送
DOUYIN20250123913844,U-DOUYIN-720527,douyin,2025-01-23 13:32:35,2025-01-23 14:28:35,微信支付,重庆福田区78号楼14单元1143室,已完成,1611.88,461.74,16.72,96.71,拼团优惠,,同城配送
DOUYIN20250124128487,U-DOUYIN-738228,douyin,2025-01-24 00:59:41,2025-01-24 01:32:41,银行卡,西安朝阳区4号楼1单元1811室,已取消,2922.04,628.06,9.82,175.32,无促销,,同城配送
DOUYIN20250124254685,U-DOUYIN-983128,douyin,2025-01-24 06:28:25,2025-01-24 06:36:25,微信支付,武汉浦东新区65号楼19单元1383室,已取消,1196.38,172.79,14.09,71.78,秒杀活动,QZMD7493,自提
DOUYIN20250124417206,U-DOUYIN-397873,douyin,2025-01-24 20:48:00,2025-01-24 21:21:00,支付宝,成都朝阳区25号楼20单元516室,已完成,1188.57,212.52,11.44,71.31,优惠券,QZMD3093,快递配送
DOUYIN20250124728630,U-DOUYIN-115528,douyin,2025-01-24 15:19:20,2025-01-24 15:24:20,微信支付,上海浦东新区41号楼3单元680室,已发货,2334.82,552.85,4.23,140.09,秒杀活动,QZMD7985,快递配送
DOUYIN20250124804562,U-DOUYIN-356404,douyin,2025-01-24 08:49:16,2025-01-24 09:14:16,微信支付,杭州朝阳区92号楼7单元450室,待付款,3080.35,278.60,8.55,184.82,秒杀活动,YHMD7816,自提
DOUYIN20250125305499,U-DOUYIN-684512,douyin,2025-01-25 09:44:19,2025-01-25 10:34:19,银行卡,广州福田区54号楼5单元476室,已付款,4413.03,169.66,5.37,264.78,拼团优惠,,快递配送
DOUYIN20250125402822,U-DOUYIN-923305,douyin,2025-01-25 06:24:59,2025-01-25 06:30:59,京东支付,北京海淀区58号楼12单元1979室,已完成,407.31,32.85,14.51,24.44,秒杀活动,,自提
DOUYIN20250125749442,U-DOUYIN-878309,douyin,2025-01-25 20:56:22,2025-01-25 21:02:22,支付宝,成都朝阳区55号楼2单元825室,已付款,4387.23,390.87,14.71,263.23,秒杀活动,,快递配送
DOUYIN20250125909509,U-DOUYIN-446810,douyin,2025-01-25 22:22:13,2025-01-25 23:02:13,微信支付,深圳浦东新区65号楼6单元782室,已付款,763.69,13.86,8.47,45.82,秒杀活动,,同城配送
DOUYIN20250125975905,U-DOUYIN-465922,douyin,2025-01-25 21:37:22,2025-01-25 22:15:22,支付宝,南京朝阳区34号楼16单元1690室,待付款,4755.41,987.32,13.73,285.32,优惠券,,同城配送
DOUYIN20250126107351,U-DOUYIN-601564,douyin,2025-01-26 04:02:52,2025-01-26 04:11:52,微信支付,北京朝阳区31号楼8单元1749室,已完成,4276.57,1075.46,1.57,256.59,无促销,QZMD3582,快递配送
DOUYIN20250126286166,U-DOUYIN-370966,douyin,2025-01-26 07:28:57,2025-01-26 08:07:57,微信支付,广州福田区75号楼12单元1781室,已发货,3742.94,325.20,1.45,224.58,拼团优惠,QZMD3112,自提
